"binomial_name","biofilm_forming","halophilic","metabolism","motile","pathogen","shape",,"spore_forming"
"bacillus_cereus_thuringiensis","False","False","anaerobic","motile","False","rod",,"True"
"bacillus_halodurans","False","False","anaerobic","motile","False","rod",,"True"
"bacillus_megaterium","False","False","anaerobic","motile","False","rod",,"False"
"bacillus_pumilus","False","False","anaerobic|aerobic|unknown","motile","True","rod:flagella",,"True"
"bacillus_sp_m_2_6","False","False","aerobic","motile","True","rod",,"False"
"bacillus_subtilis","False","False","anaerobic","motile","True","rod:flagella",,"True"
"bacillus_virus_1","True","False","anaerobic","motile","True","flagella:rod:sphere",,"True"
"bacteroides_barnesiae","False","False","unknown","motile","False",,,"False"
"bacteroides_sp_1_1_6","False","False","aerobic","motile","True",,,"False"
"bacteroides_thetaiotaomicron","False","False","unknown","motile","True",,,"False"
"banana_streak_virus","False","False","unknown","motile","False",,,"False"
"bartonella_bacilliformis","False","False","unknown","motile","False",,,"False"
"bdellovibrio_bacteriovorus","False","False","unknown","motile","False",,,"False"
"beak_and_feather_disease_virus","False","False","unknown","motile","True",,,"False"
"beggiatoa_alba","False","False","anaerobic","motile","False",,,"False"
"bifidobacterium_adolescentis","False","False","anaerobic","motile","False","rod",,"False"
"bifidobacterium_breve","False","False","unknown","motile","False",,,"False"
"bordetella_avium","False","False","unknown","motile","False",,,"False"
"borrelia_afzelii","False","False","unknown","motile","False",,,"False"
"borrelia_burgdorferi","False","False","unknown","motile","True","flagella",,"False"
"borrelia_garinii","False","False","unknown","motile","False",,,"False"
"borrelia_recurrentis","False","False","unknown","motile","False",,,"False"
"bovine_adenovirus_d","False","False","unknown","motile","True",,,"False"
"bovine_herpesvirus_1","False","False","unknown","motile","False",,,"False"
"brachyspira_hyodysenteriae","False","False","unknown","motile","False",,,"False"
"bradyrhizobium_elkanii","False","False","obligate-anaerobic","motile","False",,,"False"
"bradyrhizobium_japonicum","False","False","unknown","motile","False",,,"False"
"brevibacterium_linens","False","False","unknown","motile","True",,,"False"
"brevundimonas_diminuta","False","False","unknown","motile","True",,,"False"
"brucella_abortus","False","False","unknown","motile","True","flagella",,"False"
"brucella_microti","False","False","unknown","motile","True",,,"False"
"buchnera_aphidicola","False","False","unknown","motile","True",,,"False"
"burkholderia_cepacia","False","False","unknown","motile","True","rod",,"False"
"burkholderia_pseudomallei","False","False","unknown","motile","True",,,"False"
"burkholderia_xenovorans","False","False","unknown","motile","True",,,"False"
"campylobacter_coli","False","False","unknown","motile","True",,,"False"
"campylobacter_curvus","False","False","unknown","motile","True","rod",,"False"
"campylobacter_jejuni","False","False","anaerobic","motile","True","rod:flagella",,"True"
"candida_albicans","False","False","unknown","motile","True",,,"False"
"candida_dubliniensis","False","False","unknown","motile","True",,,"False"
"candidatus_carsonella_ruddii","False","False","unknown","motile","True",,,"False"
"candidatus_chloracidobacterium_thermophilum","False","False","unknown","motile","False",,,"False"
"candidatus_koribacter_versatilis","False","False","unknown","motile","False","flagella",,"False"
"candidatus_solibacter_usitatus","False","False","unknown","motile","True",,,"False"
"carboxydothermus_hydrogenoformans","False","False","unknown","motile","True",,,"False"
"carnobacterium_maltaromaticum","False","False","anaerobic","motile","False","rod",,"False"
"catenulispora_acidiphila","False","False","unknown","motile","True",,,"False"
"catonella_morbi","False","False","unknown","motile","True",,,"False"
"caulobacter_segnis","False","False","unknown","motile","False","rod:flagella",,"False"
"cenarchaeum_symbiosum","False","False","unknown","motile","True",,,"False"
"cercopithecine_herpesvirus_2","False","False","unknown","motile","True",,,"False"
"chlamydia_muridarum","False","False","unknown","motile","True",,,"False"
"chlamydia_pecorum","False","False","unknown","motile","True",,,"False"
"chlamydia_trachomatis","False","False","unknown","motile","True",,,"False"
"chlamydophila_felis","False","False","unknown","motile","True",,,"False"
"chlorobium_chlorochromatii","False","False","unknown","motile","True",,,"False"
"chlorobium_ferrooxidans","False","False","anaerobic","motile","True","sphere",,"False"
"chloroflexus_aggregans","False","False","anaerobic","motile","False",,,"False"
"chloroflexus_aurantiacus","False","False","unknown","motile","True",,,"False"
"chroococcidiopsis_thermalis","False","False","unknown","motile","False",,,"False"
"chthoniobacter_flavus","False","False","aerobic","motile","False","rod",,"False"
"citrobacter_rodentium","False","False","unknown","motile","True",,,"False"
"clavibacter_michiganensis","False","False","unknown","motile","True",,,"False"
"clostridium_botulinum","False","False","anaerobic|obligate-anaerobic|unknown","motile","True","rod",,"False"
"clostridium_cellulolyticum","False","False","unknown","motile","True",,,"False"
"clostridium_cellulovorans","False","False","unknown","motile","True",,,"False"
"clostridium_difficile","False","False","anaerobic","motile","True",,,"True"
"clostridium_glycolicum","False","False","facultative-anaerobic","motile","False","rod:flagella",,"True"
"clostridium_perfringens","False","False","unknown","motile","True",,,"False"
"clostridium_sporogenes","False","False","unknown","motile","True","flagella",,"False"
"clostridium_tetani","False","False","unknown","motile","True","flagella",,"False"
"coccidioides_immitis","False","False","unknown","motile","True","flagella",,"False"
"coccidioides_posadasii","False","False","unknown","motile","True","flagella",,"False"
"collimonas_fungivorans","False","False","unknown","motile","True","flagella",,"False"
"colwellia_psychrerythraea","False","False","unknown","motile","True","flagella",,"False"
"conexibacter_woesei","False","False","anaerobic","motile","False","flagella",,"False"
"corynebacterium_diphtheriae","False","False","aerobic","motile","True","rod",,"False"
"corynebacterium_efficiens","False","False","unknown","motile","True","flagella",,"False"
"cowpea_mosaic_virus","False","False","unknown","motile","False",,,"False"
"cowpox_virus","False","False","unknown","motile","True",,,"False"
"coxiella_burnetii","False","False","unknown","motile","True","rod",,"True"
"crimean_congo_hemorrhagic_fever_virus","False","False","unknown","motile","False",,,"False"
"cryptococcus_neoformans","False","False","unknown","motile","True",,,"True"
"cryptosporidium_hominis","False","False","unknown","motile","True","flagella",,"False"
"cryptosporidium_parvum","False","False","unknown","motile","True",,,"False"
"cucumber_mosaic_virus","False","False","unknown","motile","False","rod",,"False"
"cucumber_vein_yellowing_virus","False","False","unknown","motile","False",,,"False"
"cupriavidus_metallidurans","False","False","unknown","motile","True","flagella",,"False"
"cytophaga_aurantiaca","False","False","unknown","motile","True","flagella",,"False"
"dechloromonas_aromatica","False","False","unknown","motile","True","flagella",,"False"
"dehalococcoides_mccartyi","False","False","unknown","motile","True","flagella",,"False"
"deinococcus_deserti","False","False","unknown","motile","True","flagella",,"False"
"deinococcus_geothermalis","False","False","aerobic","motile","False",,,"False"
"deinococcus_radiodurans","False","False","aerobic","motile","True","sphere:flagella",,"False"
"denitrovibrio_acetiphilus","False","False","unknown","motile","True","flagella",,"False"
"desulfatibacillum_alkenivorans","False","False","unknown","motile","True","flagella",,"False"
"desulfitobacterium_hafniense","False","False","unknown","motile","True","flagella",,"False"
"desulfobacter_curvatus","False","False","unknown","motile","False",,,"False"
"desulfococcus_multivorans","False","False","obligate-anaerobic","motile","False","sphere",,"False"
"desulfomonile_tiedjei","False","False","unknown","motile","True","flagella",,"False"
"desulfotomaculum_acetoxidans","False","False","aerobic","motile","True","sphere:flagella",,"False"
"desulfovibrio_desulfuricans","False","False","anaerobic","motile","False","rod",,"True"
"desulfovibrio_salexigens","False","False","unknown","motile","True",,,"False"
"desulfovibrio_vulgaris","False","False","unknown","motile","True","flagella",,"False"
"desulfurobacterium_thermolithotrophum","False","False","anaerobic","motile","True","rod:sphere:flagella",,"False"
"desulfurococcus_fermentans","False","False","anaerobic","motile","True","sphere:flagella",,"False"
"desulfuromonas_acetoxidans","False","False","unknown","motile","True","flagella",,"False"
"dictyoglomus_thermophilum","False","False","unknown","motile","True","flagella",,"False"
"dictyostelium_discoideum","False","False","unknown","motile","False",,,"True"
"dietzia_cinnamea","False","False","unknown","motile","True","flagella",,"False"
"edwardsiella_tarda","False","False","unknown","motile","True","flagella",,"False"
"eikenella_corrodens","False","False","unknown","motile","True","flagella",,"False"
"encephalitozoon_hellem","False","False","unknown","motile","True","flagella",,"False"
"entamoeba_dispar","False","False","unknown","motile","True",,,"False"
"enterobacter_asburiae","False","False","unknown","motile","True","flagella",,"False"
"enterobacter_cloacae","False","False","unknown","motile","True","rod",,"False"
"enterococcus_avium","False","False","unknown","motile","True","flagella",,"False"
"enterovirus_a","True","False","unknown","motile","True",,,"False"
"equine_rhinitis_a_virus","False","False","unknown","motile","True",,,"False"
"erwinia_amylovora","False","False","unknown","motile","True","flagella",,"False"
"erythrobacter_litoralis","False","False","unknown","motile","True","flagella",,"False"
"escherichia_albertii","False","False","anaerobic","motile","True","rod",,"False"
"escherichia_coli","True","False","aerobic|anaerobic|unknown","motile","True","rod:flagella:flagella",,"False"
"exiguobacterium_sibiricum","False","False","unknown","motile","True","flagella",,"False"
"ferroglobus_placidus","False","False","unknown","motile","True","flagella",,"False"
"ferroplasma_acidarmanus","True","False","aerobic","motile","True","flagella",,"False"
"filifactor_alocis","False","False","unknown","motile","True","flagella",,"False"
"flavobacterium_branchiophilum","False","False","aerobic","motile","True",,,"False"
"flavobacterium_psychrophilum","False","False","unknown","motile","True","flagella",,"False"
"francisella_noatunensis","False","False","unknown","motile","True","flagella",,"False"
"frankia_alni","False","False","unknown","motile","True","flagella",,"False"
"frog_virus_3","False","False","unknown","motile","True",,,"False"
"fusarium_graminearum","False","False","unknown","motile","True","flagella",,"False"
"fusobacterium_necrophorum","False","False","unknown","motile","True","rod",,"False"
"gemmata_obscuriglobus","False","False","anaerobic","motile","True","sphere:flagella",,"False"
"geobacter_bemidjiensis","False","False","unknown","motile","False","rod:flagella",,"False"
"giardia_intestinalis","False","False","anaerobic","motile","True","flagella",,"False"
"halobacterium_salinarum","False","True","obligate-anaerobic","motile","False","rod",,"False"
"halococcus_morrhuae","False","True","unknown","motile","False",,,"False"
"halomonas_boliviensis","False","True","anaerobic","motile","False","rod",,"False"
"helicobacter_acinonychis","False","False","unknown","motile","False",,,"False"
"helicobacter_pylori","False","False","unknown","motile","False","flagella",,"False"
"hendra_virus","False","False","unknown","motile","True","sphere",,"False"
"hepatitis_a_virus","True","False","anaerobic","motile","True","sphere",,"False"
"hepatitis_c_virus","True","False","unknown","motile","True",,,"False"
"human_herpesvirus_5","False","False","unknown","motile","True","sphere",,"False"
"human_herpesvirus_7","False","False","unknown","motile","False",,,"False"
"human_immunodeficiency_virus_1","False","False","aerobic","motile","True","rod:sphere",,"False"
"human_immunodeficiency_virus_2","False","False","obligate-anaerobic","motile","True","Sphere:rod",,"False"
"human_papillomavirus","False","False","unknown","motile","True",,,"False"
"human_parainfluenza_virus_3","False","False","unknown","motile","False",,,"False"
"human_respiratory_syncytial_virus","False","False","unknown","motile","False","sphere",,"False"
"human_t_lymphotropic_virus_4","False","False","unknown","motile","True",,,"False"
"hyperthermophilic_archaeal_virus_1","False","False","unknown","motile","True","flagella",,"False"
"hyperthermus_butylicus","False","False","unknown","motile","False","sphere",,"False"
"ignicoccus_hospitalis","False","False","unknown","motile","False","flagella",,"False"
"impatiens_necrotic_spot_virus","False","False","unknown","motile","False","sphere",,"False"
"infectious_salmon_anemia_virus","False","False","obligate-anaerobic","motile","True","rod:flagella",,"True"
"influenza_a_virus","True","False","aerobic","motile","True","Flagella:sphere",,"False"
"j_virus","False","False","unknown","motile","True","sphere:flagella",,"False"
"janthinobacterium_lividum","False","False","aerobic","motile","True",,,"False"
"klebsiella_oxytoca","False","False","aerobic","motile","False","rod",,"False"
"klebsiella_pneumoniae","False","False","anaerobic","motile","True","flagella",,"False"
"kyasanur_forest_disease_virus","False","False","unknown","motile","True","flagella",,"False"
"lactobacillus_acidophilus","False","False","unknown","motile","False",,,"False"
"lactobacillus_vaginalis","False","False","unknown","motile","True","flagella",,"False"
"legionella_pneumophila","True","False","aerobic","motile","True","rod:flagella",,"False"
"leptospira_alexanderi","False","False","aerobic","motile","True",,,"False"
"leptospirillum_ferriphilum","True","False","unknown","motile","False",,,"False"
"leptothrix_cholodnii","False","False","unknown","motile","False","rod",,"False"
"leuconostoc_carnosum","False","False","anaerobic","motile","False",,,"True"
"listeria_monocytogenes","True","False","unknown","motile","True","flagella",,"True"
"listeria_phage_a511","False","False","unknown","motile","True",,,"False"
"magnaporthe_oryzae","False","False","unknown","motile","True",,,"True"
"maize_streak_virus","False","False","unknown","motile","False",,,"False"
"marburg_marburgvirus","False","False","unknown","motile","True",,,"False"
"marinobacter_hydrocarbonoclasticus","False","False","anaerobic","motile","True",,,"False"
"mariprofundus_ferrooxydans","False","False","anaerobic","motile","True",,,"False"
"marivirga_tractuosa","False","False","anaerobic","motile","True",,,"False"
"mavirus","False","False","unknown","motile","False",,,"False"
"measles_virus","False","False","unknown","motile","True",,,"False"
"meiothermus_ruber","True","False","aerobic","motile","False",,,"False"
"mesoplasma_florum","False","False","anaerobic","motile","True",,,"False"
"mesorhizobium_loti","False","False","anaerobic","motile","True",,,"False"
"metallosphaera_cuprina","False","False","anaerobic","motile","True","flagella",,"False"
"metallosphaera_sedula","False","False","anaerobic","motile","True",,,"False"
"methanobrevibacter_smithii","False","False","anaerobic","motile","True",,,"False"
"methanocaldococcus_villosus","False","False","anaerobic","motile","True",,,"False"
"methanococcus_maripaludis","False","False","anaerobic","motile","False","flagella",,"False"
"methanosarcina_acetivorans","False","False","anaerobic","motile","False",,,"False"
"methanosphaera_stadtmanae","False","False","unknown","motile","False","sphere",,"False"
"methylobacterium_extorquens","True","False","anaerobic","motile","False","rod",,"False"
"micrococcus_luteus","False","False","aerobic","motile","True",,,"False"
"mycobacterium_avium","False","False","unknown","motile","True","flagella",,"False"
"mycobacterium_leprae","False","False","unknown","motile","True","sphere",,"False"
"myxococcus_fulvus","False","False","unknown","motile","False","rod:sphere",,"True"
"myxococcus_xanthus","True","False","anaerobic","motile","True",,,"False"
"naegleria_gruberi","False","False","anaerobic","motile","True","flagella",,"False"
"nanoarchaeum_equitans","False","False","unknown","motile","False",,,"False"
"natronomonas_pharaonis","False","True","aerobic","motile","False",,,"False"
"natronorubrum_bangense","False","True","obligate-anaerobic","motile","True",,,"False"
"neisseria_gonorrhoeae","False","False","unknown","motile","True",,,"False"
"neurospora_crassa","False","False","unknown","motile","False",,,"True"
"nitrosomonas_europaea","False","False","aerobic","motile","False","rod",,"False"
"nodularia_spumigena","False","False","unknown","motile","False",,,"False"
"nora_virus","False","False","unknown","motile","True",,,"False"
"norwalk_virus","False","False","unknown","motile","True",,,"False"
"nostoc_punctiforme","False","False","unknown","motile","True","sphere:flagella",,"False"
"paenibacillus_polymyxa","False","False","anaerobic","motile","False",,,"False"
"parainfluenza_virus_5","False","False","unknown","motile","True","sphere",,"False"
"paramecium_tetraurelia","False","False","unknown","motile","False",,,"False"
"pasteurella_dagmatis","False","False","unknown","motile","True","rod",,"False"
"penicillium_chrysogenum","False","False","unknown","motile","False",,,"False"
"petrotoga_mobilis","False","False","anaerobic","motile","False","rod",,"False"
"picrophilus_torridus","True","False","aerobic","motile","True",,,"False"
"pirellula_staleyi","False","False","anaerobic","motile","False","flagella",,"False"
"planctomyces_brasiliensis","False","False","unknown","motile","False","sphere",,"False"
"plasmodium_falciparum","True","False","anaerobic","motile","True","flagella",,"False"
"plasmodium_knowlesi","True","False","unknown","motile","True",,,"False"
"plesiomonas_shigelloides","True","False","unknown","motile","True",,,"False"
"polaromonas_naphthalenivorans","True","False","anaerobic","motile","True",,,"False"
"pontibacter_roseus","True","False","aerobic","motile","True","rod",,"False"
"porphyromonas_endodontalis","True","False","unknown","motile","True",,,"False"
"potato_virus_h","False","False","anaerobic","motile","True",,,"False"
"prevotella_amnii","True","False","anaerobic","motile","True",,,"False"
"prevotella_copri","True","False","unknown","motile","True",,,"False"
"prevotella_dentalis","False","False","anaerobic","motile","True","rod",,"False"
"propionibacterium_acnes","False","False","anaerobic","motile","True","rod",,"False"
"pseudomonas_aeruginosa","True","False","aerobic","motile","True","rod:flagella",,"False"
"pseudomonas_putida","True","False","aerobic","motile","True","rod",,"False"
"pseudomonas_stutzeri","False","False","anaerobic","motile","False",,,"False"
"pseudomonas_syringae","False","False","unknown","motile","True",,,"False"
"psychrobacter_aquaticus","False","False","unknown","motile","False",,,"False"
"pyrobaculum_aerophilum","False","False","anaerobic","motile","False","rod",,"False"
"pyrobaculum_oguniense","False","False","anaerobic","motile","False","rod",,"False"
"pyrococcus_abyssi","False","False","anaerobic","motile","False","flagella",,"False"
"pyrolobus_fumarii","False","False","unknown","motile","False",,,"False"
"rabies_virus","False","False","unknown","motile","True",,,"False"
"ramlibacter_tataouinensis","False","False","unknown","motile","False","rod",,"False"
"rhinovirus_a","False","False","unknown","motile","True","sphere",,"False"
"rhizobium_etli","False","False","obligate-anaerobic","motile","False",,,"False"
"rhodobacter_capsulatus","False","False","anaerobic","motile","False","flagella",,"False"
"rhodobacter_sphaeroides","False","False","unknown","motile","False",,,"False"
"rhodococcus_pyridinivorans","True","False","unknown","motile","False",,,"False"
"rhodopseudomonas_palustris","False","False","anaerobic","motile","False","sphere",,"False"
"rhodospirillum_centenum","False","False","anaerobic","motile","False","flagella",,"False"
"richelia_intracellularis","False","False","unknown","motile","False",,,"False"
"rickettsia_akari","False","False","obligate-anaerobic","motile","True",,,"False"
"rickettsia_prowazekii","False","False","aerobic","motile","False",,,"False"
"rinderpest_virus","False","False","unknown","motile","False",,,"False"
"roseobacter_denitrificans","False","False","anaerobic","motile","True","rod:flagella",,"False"
"ruminococcus_albus","False","False","anaerobic","motile","False",,,"False"
"saccharomyces_cerevisiae","False","False","anaerobic","motile","True","flagella",,"False"
"salmonella_bongori","False","False","unknown","motile","True","rod",,"False"
"salmonella_enterica","True","False","aerobic","motile","False","rod:flagella",,"False"
"salmonella_phage_7_11","False","False","unknown","motile","True","rod",,"True"
"shewanella_putrefaciens","False","False","unknown","motile","False",,,"False"
"shigella_boydii","False","False","anaerobic","motile","False","rod",,"True"
"simian_virus_12","False","False","unknown","motile","True",,,"False"
"sphingomonas_echinoides","True","False","aerobic","motile","True","rod",,"False"
"spirochaeta_africana","False","False","obligate-anaerobic","motile","False","flagella",,"False"
"spirulina_subsalsa","False","False","unknown","motile","False","rod",,"False"
"staphylococcus_aureus","True","False","anaerobic","motile","True","sphere:flagella",,"False"
"staphylococcus_epidermidis","False","False","anaerobic","motile","True",,,"False"
"strawberry_latent_ringspot_virus","False","False","unknown","motile","False",,,"False"
"streptococcus_canis","False","False","unknown","motile","True",,,"False"
"streptococcus_dysgalactiae","True","False","unknown","motile","True",,,"False"
"streptococcus_minor","False","False","unknown","motile","False",,,"False"
"streptomyces_avermitilis","False","False","unknown","motile","False",,,"False"
"streptomyces_sp_c","False","False","unknown","motile","True",,,"True"
"sulfolobus_acidocaldarius","False","False","aerobic","motile","False",,,"False"
"sulfolobus_spindle_shaped_virus_2","False","False","unknown","motile","False",,,"False"
"tannerella_forsythia","True","False","anaerobic","motile","True","rod:flagella",,"False"
"tetrahymena_thermophila","False","False","aerobic","motile","False",,,"True"
"thalassiosira_pseudonana","False","False","unknown","motile","False",,,"False"
"thermococcus_barophilus","False","False","obligate-anaerobic","motile","False",,,"False"
"thermodesulfobacterium_thermophilum","False","False","anaerobic","motile","False","rod",,"True"
"thermoplasma_acidophilum","False","False","anaerobic","motile","False","flagella",,"False"
"thermosphaera_aggregans","False","False","unknown","motile","False",,,"False"
"thermotoga_lettingae","False","False","anaerobic","motile","False","rod",,"False"
"thermus_aquaticus","False","True","unknown","motile","False","flagella",,"False"
"thiomicrospira_arctica","False","False","unknown","motile","False",,,"False"
"tomato_spotted_wilt_virus","False","False","unknown","motile","False","sphere",,"False"
"toxoplasma_gondii","False","False","unknown","motile","True","flagella",,"False"
"treponema_pallidum","False","False","unknown","motile","True","flagella",,"False"
"trichodesmium_erythraeum","False","False","unknown","motile","False",,,"False"
"trichomonas_vaginalis","False","False","anaerobic","motile","True",,,"False"
"trypanosoma_brucei","False","False","unknown","motile","False","flagella",,"False"
"trypanosoma_cruzi","False","False","anaerobic","motile","True",,,"False"
"varroa_destructor_virus_1","False","False","unknown","motile","True",,,"False"
"verrucomicrobium_spinosum","False","False","anaerobic","motile","False",,,"False"
"vibrio_anguillarum","True","False","unknown","motile","True","rod",,"False"
"vibrio_cholerae","True","False","anaerobic","motile","True","rod:flagella",,"False"
"vibrio_coralliilyticus","False","False","unknown","motile","True","sphere:flagella",,"False"
"vibrio_phage_ctx","False","False","unknown","motile","False",,,"False"
"vibrio_vulnificus","False","False","unknown","motile","True",,,"False"
"west_nile_virus","False","False","unknown","motile","False",,,"False"
"wigglesworthia_glossinidia","False","False","unknown","motile","True","rod:flagella",,"False"
"wolbachia_endosymbiont_of_brugia_malayi","False","False","unknown","motile","True",,,"False"
"xanthomonas_albilineans","False","False","unknown","motile","True","rod",,"False"
"yersinia_enterocolitica","False","False","anaerobic","motile","True","rod",,"False"
"zika_virus","False","False","unknown","motile","False",,,"False"
